average,country,highestInningScore,inningsBatted,matchesPlayes,name,notOuts,runs,span
24.55, (NZ),121,63,36,JM Parker,2,1498,1973-1980
35.59, (ENG),185,45,28,RW Barber,3,1495,1960-1968
22.28, (PAK),138,77,47,Intikhab Alam,10,1493,1959-1977
32.41, (PAK),170,49,25,Yasir Hameed,3,1491,2003-2010
32.28, (AUS),159,48,27,WB Phillips,2,1485,1983-1986
61.87, (AUS),269*,31,20,AC Voges,7,1485,2015-2016
31.25, (WI),112*,51,29,J Blackwood,4,1469,2014-2020
43.05, (ZIM),266,36,22,DL Houghton,2,1464,1992-1997
40.61, (AUS),162*,41,26,A Symonds,5,1462,2004-2008
63.43, (AUS),215,23,14,M Labuschagne,0,1459,2018-2020
20.15, (AUS),64,90,76,B Lee,18,1451,1999-2008
22.29, (ENG),84*,76,53,FJ Titmus,11,1449,1955-1975
22.88, (ENG),91,66,39,JM Brearley,3,1442,1976-1981
24.03, (INDIA),152,68,44,NR Mongia,8,1442,1994-2001
31.30, (AUS),117,55,32,MS Wade,9,1440,2012-2020
12.40, (WI),53,145,98,CEL Ambrose,29,1439,1988-2000
22.65, (AUS),65*,80,54,WAS Oldfield,17,1427,1920-1937
38.48, (SA),152,37,20,AK Markram,0,1424,2017-2019
37.42, (AUS),147,42,26,C Kelleway,4,1422,1910-1928
20.89, (ENG),59,81,54,AF Giles,13,1421,1998-2006
48.79, (ENG),144*,33,20,Hon.FS Jackson,4,1415,1893-1905
42.84, (ZIM),166*,37,19,MW Goodwin,4,1414,1998-2000
25.70, (INDIA),122*,67,41,RG Nadkarni,12,1414,1955-1968
19.04, (BDESH),103*,84,44,Khaled Mashud,10,1409,2000-2007
22.64, (SL),155*,68,35,HDRL Thirimanne,6,1404,2011-2019
33.35, (ENG),156*,45,27,RT Simpson,3,1401,1948-1955
51.62, (AUS),201*,32,20,J Ryder,5,1394,1920-1929
30.71, (WI),157*,50,33,KLT Arthurton,5,1382,1988-1995
28.77, (PAK),150,57,37,Rashid Latif,9,1381,1992-2003
38.30, (AUS),180,36,21,JA Burns,0,1379,2014-2020
22.09, (ENG),85,76,60,GP Swann,14,1370,2008-2013
37.97, (INDIA),143,37,19,S Ramesh,1,1367,1999-2001
15.88, (PAK),85,112,81,Wasim Bari,26,1366,1967-1984
28.43, (SA),124,50,27,KG Viljoen,2,1365,1930-1949
26.64, (AUS),127*,58,30,J Dyson,7,1359,1977-1984
24.26, (SA),109,64,42,DJ Richardson,8,1359,1992-1998
45.06, (AUS),203,31,19,HL Collins,1,1352,1920-1926
30.47, (PAK),140,48,25,Javed Burki,4,1341,1960-1969
35.28, (AUS),92,40,21,BM Laird,2,1341,1979-1982
34.15, (NZ),224,40,23,L Vincent,1,1332,2001-2007
31.69, (WI),168,42,26,OG Smith,0,1331,1955-1959
31.66, (AUS),92,50,31,TD Paine,8,1330,2010-2020
31.64, (SL),124,43,24,LRD Mendis,1,1329,1982-1988
24.59, (AUS),80,61,44,AK Davidson,7,1328,1953-1963
34.89, (INDIA),110,40,23,SS Das,2,1326,2000-2002
34.00, (WI),100*,46,27,JS Solomon,7,1326,1958-1965
21.68, (WI),106,63,38,DJG Sammy,2,1323,2007-2013
35.59, (AUS),146,40,22,RA Duff,3,1317,1902-1905
25.23, (SA),85,62,43,N Boje,10,1312,2000-2006
35.32, (ENG),201,37,21,G Fowler,0,1307,1982-1985
34.36, (AUS),143*,41,23,DW Hookes,3,1306,1977-1985
54.20, (WI),183,29,15,CA Davis,5,1301,1968-1973
36.05, (ENG),131,41,21,BW Luckhurst,5,1298,1970-1974
48.00, (ENG),127,33,22,DR Jardine,6,1296,1928-1934
46.28, (NZ),180,31,19,JF Reid,3,1296,1979-1986
36.71, (SL),109,36,20,RL Dias,1,1285,1982-1987
25.70, (INDIA),73,64,49,KS More,14,1285,1986-1993
34.59, (AUS),189,44,24,JW Burke,7,1280,1951-1959
35.47, (ENG),164,40,23,A Shrewsbury snr,4,1277,1881-1893
29.62, (SL),83,44,26,UC Hathurusingha,1,1274,1991-1999
40.93, (NZ),201,33,18,JD Ryder,2,1269,2008-2011
26.39, (BDESH),138,48,24,Shahriar Nafees,0,1267,2005-2013
24.34, (NZ),116,59,32,V Pollard,7,1266,1965-1973
28.70, (INDIA),99,48,26,RF Surti,4,1263,1960-1969
11.67, (ICC/SL),67,164,133,M Muralitharan,56,1261,1992-2010
25.20, (AUS),181,55,32,MR Marsh,5,1260,2014-2019
13.59, (SA),76,119,93,DW Steyn,27,1251,2004-2019
30.31, (WI),101,46,29,GE Gomez,5,1243,1939-1954
30.21, (SA),90,45,26,HB Cameron,4,1239,1927-1935
23.35, (AUS),161,53,31,G Giffen,0,1238,1881-1896
30.19, (INDIA),117,50,37,WP Saha,9,1238,2010-2019
11.95, (INDIA),75,127,92,Z Khan,24,1231,2000-2014
32.34, (INDIA),123,45,31,DG Phadkar,7,1229,1947-1959
22.68, (ZIM),94,55,29,DD Ebrahim,1,1225,2001-2005
32.18, (ENG),144,41,26,CB Fry,3,1223,1896-1912
29.07, (SL),190,43,23,S Wettimuny,1,1221,1982-1987
18.73, (AUS),201*,93,71,JN Gillespie,28,1218,1996-2006
34.77, (PAK),153,36,23,Haroon Rasheed,1,1217,1977-1983
25.80, (ENG),98*,51,34,G Miller,4,1213,1976-1984
37.84, (AUS),143*,38,20,VS Ransford,6,1211,1907-1912
35.52, (ZIM),160,36,18,CR Ervine,2,1208,2011-2020
18.58, (SL),95,73,41,MDK Perera,8,1208,2014-2019
25.04, (INDIA),104,50,29,SA Durani,2,1202,1960-1973
20.68, (NZ),99,66,37,DN Patel,8,1200,1987-1997
9.66, (ENG),81,214,152,JM Anderson,90,1199,2003-2020
25.48, (ENG),100*,52,39,MW Tate,5,1198,1924-1935
36.12, (AUS),146,34,22,AF Kippax,1,1192,1925-1934
42.46, (AUS),136,29,18,JHW Fingleton,1,1189,1932-1938
31.28, (PAK),135,38,20,Shan Masood,0,1189,2013-2020
37.03, (NZ),105,36,24,C de Grandhomme,4,1185,2016-2020
49.37, (ENG),182*,26,17,CP Mead,2,1185,1911-1928
26.90, (ENG),102*,50,26,P Willey,6,1184,1976-1986
24.14, (WI),128,52,31,SC Williams,3,1183,1994-2002
24.58, (INDIA),109,53,33,GS Ramchand,5,1180,1952-1960
26.75, (ENG),137*,55,33,CR Woakes,11,1177,2013-2020
33.48, (AUS),199,36,21,MTG Elliott,1,1172,1996-2004
23.91, (ENG),100,53,34,GO Jones,4,1172,2004-2006
37.80, (ENG),119,33,22,Rev.DS Sheppard,2,1172,1950-1963
40.37, (AUS),170*,32,20,R Edwards,3,1171,1972-1975
35.48, (AUS),128,35,21,MJ North,2,1171,2009-2010
14.73, (AUS),51,94,67,PM Siddle,15,1164,2008-2019
16.28, (ENG),97,83,57,RW Taylor,12,1156,1971-1984
29.43, (NZ),138,40,21,BW Sinclair,1,1148,1963-1968
36.96, (AUS),119,34,24,JM Gregory,3,1146,1920-1928
36.90, (SL),140,33,20,MG Vandort,2,1144,2001-2008
30.07, (NZ),132,39,24,JA Raval,1,1143,2016-2020
25.93, (BDESH),89,46,24,Rajin Saleh,2,1141,2003-2008
37.66, (SA),182,31,19,DT Lindsay,1,1130,1963-1970
34.15, (WI),109,36,19,MC Carew,3,1127,1963-1972
26.76, (PAK),139,44,26,Faisal Iqbal,2,1124,2001-2010
40.00, (ENG),122*,29,15,G Gunn,1,1120,1907-1930
23.08, (AUS),94,50,28,AC Bannerman,2,1108,1879-1893
23.02, (ENG),117,51,32,CC Lewis,3,1105,1990-1996
31.57, (INDIA),102,40,29,IK Pathan,5,1105,2003-2008
33.42, (WI),114,33,21,BP Nash,0,1103,2008-2011
35.41, (ENG),129,35,20,CJ Barnett,4,1098,1933-1948
32.29, (ENG),170,36,22,WG Grace,2,1098,1880-1899
22.40, (ZIM),114,50,27,CB Wishart,1,1098,1995-2005
25.37, (PAK),109,45,25,Alimuddin,2,1091,1954-1962
41.96, (AUS),161,28,17,TM Head,2,1091,2018-2020
54.20, (INDIA),227,21,17,VG Kambli,1,1084,1993-1995
31.55, (AUS),119,34,18,AMJ Hilditch,0,1073,1979-1985
63.05, (AUS),234,19,13,SG Barnes,2,1072,1938-1948
31.50, (PAK),189,35,21,Waqar Hasan,1,1071,1952-1959
23.23, (SA),106,47,25,JH Sinclair,1,1069,1896-1911
25.42, (INDIA),102,48,27,ED Solkar,6,1068,1969-1977
36.75, (WI),166,31,17,JKC Holt,2,1066,1954-1959
18.57, (BDESH),111,63,33,Mohammad Rafique,6,1059,2000-2008
33.09, (ENG),149,34,19,RA Woolmer,2,1059,1975-1981
27.05, (PAK),91*,44,32,Saleem Yousuf,5,1055,1982-1990
24.46, (ENG),121,50,30,C White,7,1052,1994-2002
33.90, (ENG),133,31,16,RJ Burns,0,1051,2018-2020
17.71, (PAK),90,72,55,Sarfraz Nawaz,13,1045,1969-1984
34.80, (BDESH),100,32,19,Nasir Hossain,2,1044,2011-2017
22.65, (INDIA),74,62,39,S Madan Lal,16,1042,1974-1986
25.95, (NZ),95,45,24,DR Flynn,5,1038,2008-2013
34.56, (ZIM),127,30,15,Sikandar Raza,0,1037,2013-2020
16.64, (AUS),72*,70,53,MG Hughes,8,1032,1985-1994
12.27, (AUS),47,123,96,NM Lyon,39,1031,2011-2020
15.59, (PAK),61,77,67,Abdul Qadir,11,1029,1977-1990
29.40, (SL),103,39,21,RS Madugalle,4,1029,1982-1988
25.00, (INDIA),129,42,26,KD Karthik,1,1025,2004-2018
22.73, (ZIM),93,46,23,GJ Rennie,1,1023,1997-2002
20.36, (INDIA),81,53,29,S Abid Ali,3,1018,1967-1974
46.18, (WI),109,24,15,AF Rae,2,1016,1948-1953
21.48, (NZ),80,51,33,KJ Wadsworth,4,1010,1969-1976
10.20, (PAK),45,120,87,Waqar Younis,21,1010,1989-2003
14.21, (INDIA),76,92,67,J Srinath,21,1009,1991-2002
22.40, (SA),103,46,26,SJ Snooke,1,1008,1906-1923
35.82, (PAK),129,30,16,Umar Akmal,2,1003,2009-2011
22.26, (WI),110,47,26,PV Simmons,2,1002,1988-1997
20.42, (NZ),110,60,41,JG Bracewell,11,1001,1980-1990
31.28, (AUS),136,32,18,EJM Cowan,0,1001,2011-2013
18.51, (AUS),77,66,45,IWG Johnson,12,1000,1946-1956
35.60, (AUS),108,28,20,JM Taylor,0,997,1920-1926
35.57, (ENG),173,30,16,AE Stoddart,2,996,1888-1898
58.52, (ENG),173,19,12,KS Duleepsinhji,2,995,1929-1931
25.41, (INDIA),97,42,22,AV Mankad,3,991,1969-1978
55.00, (ENG),122,20,14,GE Tyldesley,2,990,1921-1929
44.95, (ENG),175,26,15,KS Ranjitsinhji,4,989,1896-1902
25.97, (ENG),104,41,23,LC Braund,3,987,1901-1908
31.80, (WI),121,32,17,KA Edwards,1,986,2011-2014
46.85, (ENG),137,22,13,R Subba Row,1,984,1958-1961
32.76, (SA),150,32,16,JW Zulch,2,983,1910-1921
40.91, (PAK),176,25,13,Ahmed Shehzad,1,982,2013-2017
32.70, (INDIA),192,34,18,BK Kunderan,4,981,1960-1967
13.81, (ENG),39*,85,67,FS Trueman,14,981,1952-1965
19.56, (AUS),74,54,33,B Yardley,4,978,1978-1983
28.73, (SA),141,34,18,IJ Siedle,0,977,1928-1936
57.29, (INDIA),243,17,11,MA Agarwal,0,974,2018-2020
29.45, (INDIA),115*,38,21,BP Patel,5,972,1974-1977
26.18, (BDESH),106,37,19,Junaid Siddique,0,969,2008-2012
25.44, (NZ),136,39,23,PG Fulton,1,967,2006-2014
29.15, (ENG),119,35,23,JWHT Douglas,2,962,1911-1925
30.03, (WI),108,38,25,FCM Alexander,6,961,1957-1961
30.90, (NZ),120*,35,19,SA Thomson,4,958,1990-1995
28.93, (AUS),147,34,19,PS McDonnell,1,955,1880-1888
26.52, (AUS),79*,50,35,PR Reiffel,14,955,1992-1998
30.70, (WI),209,32,16,CA Roach,1,952,1928-1935
24.33, (ENG),149,39,25,G Ulyett,0,949,1877-1890
12.27, (AUS),76,89,60,GD McKenzie,12,945,1961-1971
11.65, (SA),40,104,86,M Morkel,23,944,2006-2018
12.20, (AUS),42*,90,71,CJ McDermott,13,940,1984-1996
11.56, (ENG),45*,116,86,DL Underwood,35,937,1966-1982
7.54, (WI),30*,185,132,CA Walsh,61,936,1984-2001
14.82, (ENG),88,68,44,PAJ DeFreitas,5,934,1986-1995
38.91, (AUS),110,29,16,PSP Handscomb,5,934,2016-2019
31.13, (INDIA),71,38,25,PA Patel,8,934,2002-2018
31.13, (SL),153*,33,18,MDKJ Perera,3,934,2015-2019
24.42, (PAK),65*,41,25,Asif Mujtaba,3,928,1986-1997
16.28, (NZ),64,65,43,BL Cairns,8,928,1974-1985
23.76, (INDIA/PAK),93,42,26,AH Kardar,3,927,1946-1958
14.48, (PAK),101*,78,49,Saqlain Mushtaq,14,927,1995-2004
28.90, (ENG),121,36,26,APF Chapman,4,925,1924-1931
31.79, (WI),219,35,22,DS Atkinson,6,922,1948-1958
26.34, (NZ),112,37,19,CM Spearman,2,922,1995-2000
21.92, (AUS),143,42,24,GHS Trott,0,921,1888-1898
22.97, (ENG),123,41,23,CWJ Athey,1,919,1980-1988
25.50, (ENG),88,51,39,DA Allen,15,918,1960-1966
22.39, (WI),101*,45,33,JR Murray,4,918,1993-2002
21.23, (INDIA),86,57,39,KD Ghavri,14,913,1974-1981
13.78, (WI),73,76,60,MA Holding,10,910,1975-1987
56.87, (ENG),140,18,10,CAG Russell,2,910,1920-1923
31.31, (AUS/ENG),211,34,19,WL Murdoch,5,908,1877-1892
13.71, (AUS),73*,90,70,DK Lillee,24,905,1971-1984
20.52, (ENG),84,52,35,AFA Lilley,8,903,1896-1909
47.47, (AUS),150,19,11,PA Jaques,0,902,2005-2008
30.00, (PAK),136,34,21,Azhar Mahmood,4,900,1997-2001
20.40, (NZ),124,50,30,BR Taylor,6,898,1965-1973
28.93, (AUS),168,32,18,GJ Cosier,1,897,1975-1978
26.35, (WI),107,37,22,RJ Christiani,3,896,1948-1954
15.96, (AUS),74,68,46,GF Lawson,12,894,1980-1989
52.58, (SA),189,19,11,A Melville,2,894,1938-1949
31.89, (AUS),122,29,15,PM Toohey,1,893,1977-1980
19.82, (NZ),111,47,25,SN McGregor,2,892,1955-1965
12.20, (WI),41,91,57,KAJ Roach,18,891,2009-2020
15.08, (AUS),74,67,51,ATW Grout,8,890,1957-1966
25.34, (ENG),70,37,22,DB Close,2,887,1949-1976
26.84, (ZIM),92,36,19,AM Blignaut,3,886,2001-2005
23.86, (SA),89,43,24,JE Cheetham,6,883,1949-1955
46.36, (ENG),133,21,11,JDB Robertson,2,881,1947-1952
38.21, (ENG),325,23,14,A Sandham,0,879,1921-1930
25.85, (ENG),116,37,23,W Watson,3,879,1951-1959
24.38, (INDIA),118,40,24,L Amarnath,4,878,1933-1952
17.50, (ENG),64,65,51,PH Edmonds,15,875,1975-1987
22.97, (AUS),72,47,28,H Carter,9,873,1907-1921
31.14, (INDIA),114*,36,21,HR Adhikari,8,872,1947-1959
30.06, (SA),147,31,17,GC White,2,872,1906-1912
19.72, (SL),62*,51,31,HDPK Dharmasena,7,868,1993-2004
30.92, (WI),121,34,24,BD Julien,6,866,1973-1977
18.00, (ENG),59,56,37,DG Cork,8,864,1995-2002
16.90, (SA),75,60,37,HJ Tayfield,9,862,1949-1960
10.37, (ENG),49*,95,62,AR Caddick,12,861,1993-2003
30.71, (ENG),77,32,21,GRJ Roope,4,860,1973-1978
30.67, (WI),83*,39,27,JDC Goddard,11,859,1948-1957
26.03, (BDESH),94,34,20,Liton Das,1,859,2015-2020
47.72, (INDIA),154,18,10,VM Merchant,0,859,1933-1951
26.81, (PAK),103,33,19,Basit Ali,1,858,1993-1995
12.96, (WI),106,73,46,JE Taylor,7,856,2003-2016
12.57, (ENG),65,86,58,D Gough,18,855,1994-2003
27.54, (NZ),136,33,17,TG McIntosh,2,854,2008-2011
19.79, (AUS),70,57,32,H Trumble,14,851,1890-1904
14.82, (ENG),65,66,46,CM Old,9,845,1972-1981
11.50, (ENG),28*,128,90,RGD Willis,55,840,1971-1984
27.06, (ZIM),106*,41,24,PA Strang,10,839,1994-2001
27.93, (WI),93,30,16,SO Hetmyer,0,838,2017-2019
11.61, (SL),42,95,61,RAS Lakmal,23,836,2010-2020
26.03, (SA),96,33,19,AM Bacher,1,833,1996-1999
23.05, (INDIA),83*,41,27,RMH Binny,5,830,1979-1987
23.00, (NZ),101,37,21,TJ Franklin,1,828,1983-1991
29.53, (ENG),94,28,15,JL Denly,0,827,2019-2020
25.75, (SA),92,33,18,KJ Funston,1,824,1952-1958
35.69, (SL),120,24,14,SM Warnapura,1,821,2007-2009
37.22, (PAK),147,23,14,Haris Sohail,1,819,2017-2020
31.50, (SA),154,27,17,AJ Pithey,1,819,1957-1965
15.73, (WI),50*,66,48,WW Hall,14,818,1958-1969
29.21, (BDESH),149,28,15,Soumya Sarkar,0,818,2015-2019
28.17, (PAK),146,30,16,Khurram Manzoor,1,817,2009-2014
18.11, (ENG),121,50,33,J Briggs,5,815,1884-1899
19.85, (NZ),66,46,26,AR MacGibbon,5,814,1951-1958
38.76, (INDIA),159*,22,13,RR Pant,1,814,2018-2020
31.26, (AUS),88,30,21,TR Veivers,4,813,1963-1967
26.19, (ENG),127,38,29,BR Knight,7,812,1961-1969
25.37, (ENG),99,34,20,NWD Yardley,2,812,1938-1950
40.50, (ENG),137*,24,15,AJ Watkins,4,810,1948-1952
21.86, (ZIM),112,38,20,TR Gripper,1,809,1999-2004
20.71, (NZ),122*,46,31,JEC Franklin,7,808,2001-2013
36.68, (AUS),140,23,14,FA Iredale,1,807,1894-1899
25.21, (SL),93,38,22,JR Ratnayeke,6,807,1982-1989
25.18, (ZIM),101,34,17,RW Chakabva,2,806,2011-2020
26.00, (ENG),114,36,24,JW Hearne,5,806,1911-1926
27.62, (PAK),189,33,20,Wazir Mohammad,4,801,1952-1959
15.68, (AUS),74,62,35,JM Blackham,11,800,1877-1894
12.85, (BDESH),79,67,36,Mashrafe Mortaza,5,797,2001-2009
22.57, (ENG),85,38,24,GH Hirst,3,790,1897-1909
25.45, (AUS),66,33,18,GB Hole,2,789,1951-1955
46.23, (ENG),111,21,12,PJ Sharpe,4,786,1963-1969
29.07, (AUS),91,30,18,MG Bevan,3,785,1994-1998
19.62, (ENG),74,48,30,PR Downton,8,785,1981-1988
52.26, (ENG),102,18,11,CF Walters,3,784,1933-1934
23.72, (PAK),77,36,21,W Mathias,3,783,1955-1962
30.11, (PAK),192,28,18,Mohammad Wasim,2,783,1996-2000
26.06, (WI),250,30,19,SFAF Bacchus,0,782,1978-1982
25.19, (ENG),146*,32,17,KK Jennings,1,781,2016-2019
23.57, (NZ),152,37,21,WK Lees,4,778,1976-1983
20.44, (NZ),71,42,23,CZ Harris,4,777,1992-2002
28.70, (ENG),117,30,16,NRD Compton,3,775,2012-2016
31.00, (ENG),221,26,15,RWT Key,1,775,2002-2005
22.70, (NZ),92,35,19,JM How,1,772,2006-2009
13.54, (ENG),73,71,49,JA Snow,14,772,1965-1976
33.47, (ZIM),119,24,12,SC Williams,1,770,2013-2020
22.58, (WI),105*,39,24,DAJ Holford,5,768,1966-1977
26.48, (INDIA),120,31,18,SK Raina,2,768,2010-2015
29.53, (AUS),136,27,14,A Turner,1,768,1975-1977
14.94, (WI),68,62,47,AME Roberts,11,762,1974-1983
26.20, (SA),163,33,21,AJ Hall,4,760,2002-2007
31.58, (PAK),91,25,13,Sami Aslam,1,758,2015-2017
27.03, (AUS),101,31,19,LE Favell,3,757,1954-1961
26.96, (NZ),171,29,16,HD Rutherford,1,755,2013-2015
13.41, (PAK),48,67,36,Mohammad Amir,11,751,2009-2019
24.19, (ENG),122,33,25,GOB Allen,2,750,1930-1948
11.68, (INDIA),64,76,57,S Venkataraghavan,12,748,1965-1983
16.60, (PAK),101,50,29,Nasim-ul-Ghani,5,747,1958-1973
37.20, (ENG),132*,22,13,R Abel,2,744,1888-1902
11.79, (ENG/ICC),49*,86,63,SJ Harmison,23,743,2002-2009
13.74, (ENG),89,63,49,GAR Lock,9,742,1952-1968
25.55, (NZ),126,29,22,MJ Santner,0,741,2015-2019
28.50, (SA),108,27,20,PL Symcox,1,741,1993-1998
46.00, (INDIA),112,17,10,RS Modi,1,736,1946-1952
11.48, (INDIA),37,84,49,EAS Prasanna,20,735,1962-1978
25.31, (ENG),79,30,22,FR Brown,1,734,1931-1953
22.24, (NZ),97,34,20,RW Morgan,1,734,1965-1972
27.07, (AUS),134,27,14,JJ Lyons,0,731,1887-1897
26.03, (INDIA),93,29,16,J Arun Lal,1,729,1982-1989
24.30, (NZ),107,32,18,MD Bell,2,729,1998-2008
23.51, (NZ),89*,45,32,DJ Nash,14,729,1992-2001
23.38, (ENG),134,33,21,W Barnes,2,725,1880-1890
25.89, (WI),82,30,18,N Deonarine,2,725,2005-2013
27.84, (ENG),140,26,15,DJ Malan,0,724,2017-2018
26.81, (SA),83,33,19,CB van Ryneveld,6,724,1951-1958
65.72, (NZ),136,15,10,CS Dempster,4,723,1930-1933
27.69, (ENG),117,27,18,WW Read,1,720,1882-1893
8.37, (INDIA),57,129,97,I Sharma,43,720,2007-2020
23.96, (ENG),113,30,17,NV Knight,0,719,1995-2001
37.73, (PAK),99,20,12,Asim Kamal,1,717,2003-2005
12.75, (ENG),79,71,51,AV Bedser,15,714,1946-1955
24.58, (AUS),128,30,19,RG Archer,1,713,1953-1956
29.62, (NZ),109,25,14,DG Brownlie,1,711,2011-2013
27.34, (ENG),78,30,17,SM Curran,4,711,2018-2020
33.76, (NZ),137*,22,12,JDS Neesham,1,709,2014-2017
15.36, (WI),45,61,36,D Bishoo,15,707,2011-2018
13.59, (PAK),113,58,39,Yasir Shah,6,707,2014-2020
23.53, (AUS),138,30,19,VY Richardson,0,706,1924-1936
29.25, (AUS),80,26,14,W Bruce,2,702,1885-1895
35.10, (SL),109,23,12,ARS Silva,3,702,2017-2019
30.43, (ENG),130,24,16,EJG Morgan,1,700,2010-2012
9.84, (SA),32*,116,101,M Ntini,45,699,1998-2009
31.72, (SA),117,24,15,EL Dalton,2,698,1929-1939
26.80, (AUS),91,27,14,WM Darling,1,697,1978-1979
15.10, (ENG),63,50,30,DR Pringle,4,695,1982-1992
26.61, (AUS),105,27,15,IC Davis,1,692,1973-1977
31.18, (INDIA),105,24,14,Hanumant Singh,2,686,1964-1969
22.76, (BDESH),71,30,15,Al Sahariar,0,683,2000-2003
32.52, (NZ),116,22,13,CJ Anderson,1,683,2013-2016
26.23, (ENG),143,27,14,FL Fane,1,682,1906-1910
14.20, (WI),42,59,40,VA Holder,11,682,1969-1979
32.33, (SA),73,22,12,A Bacher,1,679,1965-1970
12.81, (AUS),49,73,51,JR Thomson,20,679,1972-1985
14.08, (ENG),63,63,46,JC Laker,15,676,1948-1959
11.44, (ENG),38,87,70,JB Statham,28,675,1951-1965
42.06, (ENG),106,16,8,DS Steele,0,673,1975-1976
12.44, (WI),60,68,58,J Garner,14,672,1977-1987
20.90, (ENG),66*,44,40,H Verity,12,669,1931-1939
22.93, (NZ),85,29,15,BA Pocock,0,665,1993-1997
17.02, (AUS),46*,56,36,JJ Kelly,17,664,1896-1905
24.55, (SA),88,28,16,DPB Morkel,1,663,1927-1932
20.06, (BDESH),76,33,17,Hannan Sarkar,0,662,2002-2004
23.46, (WI),104,28,15,AB Barath,0,657,2009-2012
24.33, (WI),95*,30,21,KD Boyce,3,657,1971-1976
27.33, (ENG),64,26,15,W Bates,2,656,1881-1887
8.98, (INDIA),50*,101,67,BS Bedi,28,656,1966-1979
22.62, (NZ),117,29,17,JFM Morrison,0,656,1973-1982
11.71, (PAK),59,72,52,Mushtaq Ahmed,16,656,1990-2003
25.19, (PAK),111,29,19,Mansoor Akhtar,3,655,1980-1990
15.20, (NZ),52*,82,67,TA Boult,39,654,2011-2020
46.71, (ENG),139,16,9,C Milburn,2,654,1966-1969
19.78, (ENG),66,41,28,JH Wardle,8,653,1948-1957
10.68, (SA),37,94,72,AA Donald,33,652,1992-2002
38.35, (NZ),160,19,13,HJH Marshall,2,652,2000-2006
21.60, (INDIA),84,32,22,A Mishra,2,648,2008-2016
17.02, (AUS),63,44,30,PJ Cummins,6,647,2011-2020
25.76, (AUS),85,34,24,KJ O'Keeffe,9,644,1971-1977
15.30, (SA),72,48,30,KA Maharaj,6,643,2016-2020
7.36, (AUS),61,138,124,GD McGrath,51,641,1993-2007
29.09, (WI),87,22,11,GS Camacho,0,640,1968-1971
24.53, (WI),114,27,14,AFG Griffith,1,638,1997-2000
17.72, (BDESH),68*,42,22,Mehidy Hasan Miraz,6,638,2016-2019
33.47, (AUS),184,20,11,MT Renshaw,1,636,2016-2018
19.24, (WI),90,33,18,LN Constantine,0,635,1928-1939
12.15, (WI),48,63,43,IR Bishop,11,632,1989-1998
33.26, (SA),117,19,11,SC Cook,0,632,2016-2017
25.12, (SA),93,27,17,HG Deane,2,628,1924-1931
25.12, (NZ),94,27,16,RG Twose,2,628,1995-1999
31.30, (SA),104,22,12,PN Kirsten,2,626,1992-1994
29.76, (NZ),182,22,13,TW Jarvis,1,625,1965-1973
32.84, (INDIA),148*,22,13,M Kaif,3,624,2000-2006
23.92, (ENG),132*,28,15,PF Warner,2,622,1899-1912
14.09, (PAK),60,50,34,Fazal Mahmood,6,620,1952-1962
34.33, (SA),103,18,10,JAJ Christy,0,618,1929-1932
26.78, (SL),92,24,16,UDU Chandana,1,616,1999-2005
29.28, (ZIM),163*,22,11,TMK Mawoyo,1,615,2011-2016
11.54, (NZ),60,56,32,RC Motz,3,612,1961-1969
32.21, (INDIA),112,20,11,S Mushtaq Ali,1,612,1934-1952
26.60, (ENG),108,27,19,RWV Robins,4,612,1929-1937
23.53, (SA),92,27,15,JC Watkins,1,612,1949-1957
17.94, (WI),68,36,21,CS Baugh,2,610,2003-2012
21.67, (SA),75*,41,28,PM Pollock,13,607,1961-1970
20.89, (ENG),60,31,18,JT Ikin,2,606,1946-1955
11.43, (SA),34,64,43,K Rabada,11,606,2015-2020
21.53, (AUS),74,39,27,RJ Harris,11,603,2010-2015
46.30, (ENG),287,14,8,RE Foster,1,602,1903-1907
21.46, (WI),84,31,19,DA Murray,3,601,1978-1982
35.29, (ENG),148,20,13,AG Steel,3,600,1880-1888
23.92, (NZ),90,26,13,BAG Murray,1,598,1968-1971
26.90, (AUS),94,23,16,TJE Andrews,1,592,1921-1926
24.62, (PAK),64,29,21,Adnan Akmal,5,591,2010-2014
22.73, (ENG),62,30,17,RG Barlow,4,591,1881-1887
28.14, (SA),70,22,13,HR Lance,1,591,1962-1970
21.10, (ZIM),93,28,14,V Sibanda,0,591,2003-2014
36.81, (NZ),67,25,15,MD Craig,9,589,2014-2016
19.53, (AUS),78*,43,34,MHN Walker,13,586,1972-1977
17.69, (BDESH),85,34,17,Alok Kapali,1,584,2002-2006
20.78, (BDESH),82*,31,16,Aftab Ahmed,3,582,2004-2010
52.90, (NZ),206,12,7,MP Donnelly,1,582,1937-1949
44.69, (ENG),120,13,8,PA Gibb,0,581,1938-1946
30.52, (WI),125,24,14,MLC Foster,5,580,1969-1978
9.94, (PAK),65*,67,47,Umar Gul,9,577,2003-2013
21.37, (ZIM),72*,28,14,MN Waller,1,577,2011-2017
26.18, (INDIA),96,24,15,A Jadeja,2,576,1992-2000
31.94, (ENG),143,19,13,RS Bopara,1,575,2007-2012
26.13, (ENG),91,26,23,TT Bresnan,4,575,2009-2013
12.50, (NZ),47,63,48,N Wagner,17,575,2012-2020
27.28, (ENG),94,21,11,AD Hales,0,573,2015-2016
23.87, (AUS),112,29,17,CE McLeod,5,573,1894-1905
22.03, (WI),70*,27,15,RS Morton,1,573,2005-2008
