average,country,highestInningScore,inningsBatted,matchesPlayes,name,notOuts,runs,span
43.54, (ENG),310*,127,77,JH Edrich,9,5138,1963-1976
35.69, (SL),135*,155,93,A Ranatunga,12,5105,1982-2000
44.79, (PAK),274,124,78,Zaheer Abbas,11,5062,1969-1985
44.38, (ENG),258,123,79,TW Graveney,13,4882,1951-1969
38.09, (INDIA),224,144,90,MS Dhoni,16,4876,2005-2014
46.81, (AUS),311,111,62,RB Simpson,7,4869,1957-1978
51.54, (ZIM),232*,112,63,A Flower,19,4794,1992-2002
43.45, (AUS),171,120,66,IR Redpath,11,4737,1964-1976
37.02, (NZ),222,137,81,NJ Astle,10,4702,1996-2006
36.09, (ENG),142,139,79,AJ Lamb,10,4656,1982-1992
39.25, (PAK),137,123,74,Asad Shafiq,6,4593,2010-2020
60.73, (ENG),194,84,54,H Sutcliffe,9,4555,1924-1935
44.21, (SA),275*,115,70,DJ Cullinan,12,4554,1993-2001
42.87, (SL),204*,131,83,HP Tillakaratne,25,4545,1989-2004
46.77, (ENG),285*,106,66,PBH May,9,4537,1951-1961
30.00, (ICC/NZ),140,174,113,DL Vettori,23,4531,1997-2014
36.78, (SL),196,128,66,FDM Karunaratne,5,4524,2012-2020
47.89, (ENG),205,102,62,ER Dexter,8,4502,1958-1968
58.61, (WI),207,81,48,ED Weekes,5,4455,1948-1958
37.41, (AUS),213,124,70,KJ Hughes,6,4415,1977-1984
36.77, (BDESH),219*,130,70,Mushfiqur Rahim,10,4413,2005-2020
35.55, (ENG),207,138,79,MW Gatting,14,4409,1978-1995
46.37, (AUS),165,109,67,DR Martyn,14,4406,1992-2006
38.64, (BDESH),206,115,60,Tamim Iqbal,1,4405,2008-2020
44.43, (WI),187,109,66,AI Kallicharran,10,4399,1972-1981
32.75, (ENG),135,149,95,APE Knott,15,4389,1967-1981
42.50, (INDIA),138,113,69,M Amarnath,10,4378,1969-1988
27.39, (AUS),161*,182,119,IA Healy,23,4356,1988-1999
42.49, (WI),169,109,59,RC Fredericks,7,4334,1968-1977
34.58, (ENG),173*,131,71,MA Butcher,7,4288,1997-2004
40.56, (ENG),206,115,68,PD Collingwood,10,4259,2003-2011
43.67, (ENG),175,112,62,RA Smith,15,4236,1988-1996
42.88, (INDIA),188,109,65,AM Rahane,11,4203,2013-2020
45.03, (AUS),157,99,56,SM Katich,6,4188,2001-2010
41.95, (INDIA),206,104,58,G Gambhir,5,4154,2004-2016
36.68, (ENG),258,117,64,BA Stokes,4,4145,2013-2020
38.09, (PAK),231,116,76,Mudassar Nazar,8,4114,1976-1989
40.18, (ENG),131*,123,79,MJ Prior,21,4099,2007-2014
45.52, (PAK),188*,91,55,Saeed Anwar,2,4052,1990-2001
34.74, (ENG),167*,123,70,JM Bairstow,7,4030,2012-2019
38.28, (INDIA),167,105,61,M Vijay,1,3982,2008-2018
38.92, (PAK),167,106,63,Majid Khan,5,3931,1964-1983
32.64, (WI),260,127,71,MN Samuels,7,3917,2000-2016
